PO No,Item No A,Material No,Description,PO Item Qty,PO Item Price,PO Item Net Value,Currency,GR No,Item No B,GR Qty,PO Delivery No,Invoice No,Inv Delivery No,Year,Inv Item Description,Inv Item Qty,Inv Item Price,Inv Amount
1130388639,10,Not Available,SUNDSTROM BATTERY FOR SR500 (R06-0108),4,415.0,1660.0,SGD,5001253832,1,2,2217920,100074636.0,2217920.0,2024.0,SUNDSTROM BATTERY FOR SR500 (R06-0108),2.0,415.0,830.0
1130388639,10,Not Available,SUNDSTROM BATTERY FOR SR500 (R06-0108),4,415.0,1660.0,SGD,5001244644,1,2,Not Available,,,,,,,
2230109283,10,Not Available,OVERHAUL BX AFES CYL S/N 01311M,4,4116.0,16464.0,SGD,5001268120,1,2,2217930,100074636.0,2217930.0,2024.0,OVERHAUL BX AFES CYL S/N 01311M,2.0,$4116.00,$8232.00
2230109283,20,Not Available,OVERHAUL BX AFES CYL S/N 01309M,6,4116.0,24696.0,SGD,5001268120,2,2,2217930,100074636.0,2217930.0,2024.0,OVERHAUL BX AFES CYL S/N 01309M,2.0,$4116.00,$8232.00
2230109283,30,Not Available,ADD JOB: AFES BOTTLE 01311M,4,4634.0,18536.0,SGD,5001268121,1,2,2217935,,,,,,,
2230109283,40,Not Available,ADD JOB: AFES BOTTLE 01309M,8,4159.0,33272.0,SGD,Not Available,Not Available,Not Available,Not Available,,,,,,,
2230109285,10,Not Available,OVERHAUL BX AFES CYL S/N 01311M,4,4116.0,16464.0,SGD,5001268120,1,3,Not Available,100074660.0,,2024.0,OVERHAUL BX AFES CYL S/N 01311M,3.0,$4116.00,$12348.00
2230109285,20,Not Available,OVERHAUL BX AFES CYL S/N 01309M,6,4116.0,24696.0,SGD,5001268120,2,2,Not Available,100074660.0,,2024.0,OVERHAUL BX AFES CYL S/N 01309M,2.0,$4116.00,$8232.00
2230109285,30,Not Available,ADD JOB: AFES BOTTLE 01311M,4,4634.0,18536.0,SGD,Not Available,Not Available,Not Available,Not Available,,,,,,,
2230109285,40,Not Available,ADD JOB: AFES BOTTLE 01309M,8,4159.0,33272.0,SGD,Not Available,Not Available,Not Available,Not Available,,,,,,,
2830009990,10,81-38100-6777,POWER TAKE-OFF NH/4C,1,896.55,896.55,EUR,5001259204,,1,Not Available,,,,,,,
2830009990,20,81-52102-6410,AIR DRIER,9,398.47,3586.23,EUR,5001259203,,9,9896999517,100001355.0,9896999517.0,2024.0,AIR DRIER,9.0,398.47,3586.23
2830009990,30,81-15403-6146,SUPPLY MODULE D06,2,2118.2,4236.4,EUR,5001259203,,2,9896999517,100001355.0,9896999517.0,2024.0,SUPPLY MODULE D06,2.0,2118.2,4236.4
